Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
yfeK	BW25113_RS12620	2530701	2531075	DUF5329 domain-containing protein YfeK
trmA	BW25113_RS20575	4152098	4153198	tRNA m<sup>5</sup>U54 methyltransferase
menH	BW25113_RS11825	2370313	2371071	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
menB	BW25113_RS11820	2369441	2370298	1,4-dihydroxy-2-naphthoyl-CoA synthase
ndk	BW25113_RS13135	2637792	2638223	nucleoside diphosphate kinase
kdpC	BW25113_RS03600	719863	720435	K<sup>+</sup> transporting P-type ATPase subunit KdpC
ydaT	BW25113_RS07125	1414941	1415363	Rac prophage; putative transcriptional regulator YdaT
feaR	BW25113_RS07265	1440635	1441540	DNA-binding transcriptional activator FeaR
narW	BW25113_RS07690	1530871	1531566	nitrate reductase molybdenum cofactor assembly chaperone
mpl	BW25113_RS21985	4445602	4446975	UDP-<i>N</i>-acetylmuramate&mdash;L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminoheptanedioate ligase
ycjR	BW25113_RS06885	1370291	1371079	3-dehydro-D-guloside 4-epimerase
lysA	BW25113_RS14765	2970996	2972258	diaminopimelate decarboxylase
gfcC	BW25113_RS05115	1043401	1044147	capsule biosynthesis GfcC family protein
csdE	BW25113_RS14620	2937901	2938344	sulfur acceptor protein CsdE
RS14635	BW25113_RS14635	2940746	2940822	tRNA-Met
uup	BW25113_RS04920	1005420	1007327	ATP-binding protein Uup
mlaA	BW25113_RS12240	2457731	2458486	intermembrane phospholipid transport system - outer membrane lipoprotein MlaA
mngB	BW25113_RS03790	763434	766067	&alpha;-mannosidase
wcaI	BW25113_RS10705	2118004	2119227	colanic acid biosynthesis fucosyltransferase WcaI
wrbA	BW25113_RS05220	1062568	1063164	NAD(P)H:quinone oxidoreductase
yjbS	BW25113_RS26020	4258737	4258940	uncharacterized protein YjbS
rrf	BW25113_RS20805	4202970	4203085	5S ribosomal RNA
hisF	BW25113_RS10580	2089325	2090101	imidazole glycerol phosphate synthase subunit HisF
gcl	BW25113_RS02610	529372	531153	glyoxylate carboligase
gpp	BW25113_RS19620	3956105	3957589	guanosine-5'-triphosphate,3'-diphosphate phosphatase
RS21645	BW25113_RS21645	4382400	4382475	tRNA-Gly
xisR	BW25113_RS07070	1407494	1407709	Rac prophage; excisionase
bioH	BW25113_RS17680	3537433	3538203	pimeloyl-acyl carrier protein methyl ester esterase
ccmA	BW25113_RS11485	2290500	2291117	cytochrome <i>c</i> maturation protein A
rihB	BW25113_RS11285	2247724	2248665	pyrimidine-specific ribonucleoside hydrolase RihB
puuE	BW25113_RS06825	1359807	1361072	4-aminobutyrate aminotransferase PuuE
ihfB	BW25113_RS04730	959284	959568	integration host factor subunit &beta;
kdsD	BW25113_RS16570	3334625	3335611	D-arabinose 5-phosphate isomerase KdsD
rmf	BW25113_RS04940	1011171	1011338	ribosome modulation factor
RS14015	BW25113_RS14015	2811557	2811633	tRNA-Arg
npr	BW25113_RS16615	3341325	3341597	phosphorelay protein NPr
mrcB	BW25113_RS00750	161217	163751	PBP1B&gamma;
narZ	BW25113_RS07700	1533107	1536847	nitrate reductase Z subunit &alpha;
poxB	BW25113_RS04520	904787	906505	pyruvate oxidase
infA	BW25113_RS04590	921681	921899	translation initiation factor IF-1
cstA	BW25113_RS03110	625350	627455	pyruvate transporter CstA
yfdG	BW25113_RS12260	2461334	2461696	CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase
ybhN	BW25113_RS04095	816998	817954	PF03706 family inner membrane protein YbhN
ibsC	BW25113_RS24275	3050249	3050308	toxic peptide IbsC
yafQ	BW25113_RS01140	242448	242726	ribosome-dependent mRNA interferase toxin YafQ
RS05515	BW25113_RS05515	1114763	1114876	YceO family protein
RS10905	BW25113_RS10905	2164909	2165208	DeoR/GlpR transcriptional regulator
helD	BW25113_RS04990	1019927	1021981	DNA helicase IV
sixA	BW25113_RS12210	2449806	2450291	phosphohistidine phosphatase SixA
yqhA	BW25113_RS15590	3142336	3142830	UPF0114 family protein YqhA
flgN	BW25113_RS05575	1124870	1125286	flagella biosynthesis chaperone FlgN
xylH	BW25113_RS18520	3727080	3728261	xylose ABC transporter membrane subunit
lepB	BW25113_RS13400	2697694	2698668	signal peptidase I
ycdZ	BW25113_RS05390	1095752	1096243	inner membrane protein YcdZ
abgB	BW25113_RS07015	1396067	1397512	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B
mlrA	BW25113_RS11095	2208345	2209076	DNA-binding transcriptional activator MlrA
hprS	BW25113_RS10280	2030275	2031633	sensor histidine kinase HprS
csdA	BW25113_RS14615	2936696	2937901	cysteine sulfinate desulfinase
yfjI	BW25113_RS13695	2752344	2753753	CP4-57 prophage; DUF3987 domain-containing protein YfjI
prlC	BW25113_RS18115	3636500	3638542	oligopeptidase A
nfo	BW25113_RS11270	2244319	2245176	endonuclease IV
ybiY	BW25113_RS04280	858068	858967	putative pyruvate formate-lyase activating enzyme YbiY
ycjN	BW25113_RS06865	1366166	1367458	putative ABC transporter periplasmic binding protein YcjN
hisJ	BW25113_RS12060	2419485	2420267	histidine ABC transporter periplasmic binding protein
ybiO	BW25113_RS04195	838711	840936	moderate conductance mechanosensitive channel YbiO
asnA	BW25113_RS19460	3920515	3921507	asparagine synthetase A
hydN	BW25113_RS14120	2830937	2831464	putative electron transport protein HydN
ptsA	BW25113_RS20485	4129648	4132149	putative PTS multiphosphoryl transfer protein PtsA
agaI	BW25113_RS16285	3279629	3280384	putative deaminase AgaI
lgoR	BW25113_RS22685	4584754	4585668	putative DNA-binding transcriptional regulator LgoR
ychF	BW25113_RS06265	1252177	1253268	redox-responsive ATPase YchF
katG	BW25113_RS20455	4123763	4125943	catalase/hydroperoxidase HPI
ydeA	BW25113_RS08010	1611285	1612475	L-arabinose exporter
murA	BW25113_RS16530	3328594	3329853	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
insL1	BW25113_RS00080	15445	16557	IS186/IS421 transposase
entA	BW25113_RS03100	624007	624753	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
yfjH	BW25113_RS13685	2751003	2751959	CP4-57 prophage; uncharacterized protein YfjH
mscS	BW25113_RS15195	3062306	3063166	small conductance mechanosensitive channel MscS
yeaC	BW25113_RS09300	1855959	1856231	DUF1315 domain-containing protein YeaC
fadR	BW25113_RS06180	1230394	1231113	DNA-binding transcriptional dual regulator FadR
garD	BW25113_RS16220	3268641	3270212	galactarate dehydratase
fecB	BW25113_RS22275	4503223	4504125	ferric citrate ABC transporter periplasmic binding protein
nuoM	BW25113_RS11895	2384991	2386520	NADH:quinone oxidoreductase subunit M
mhpC	BW25113_RS01795	365472	365993	2-hydroxy-6-oxonona-2,4-dienedioate hydrolase
thiQ	BW25113_RS00325	68716	69414	thiamine ABC transporter ATP binding subunit
rcsD	BW25113_RS11575	2306967	2309639	RcsD phosphotransferase
napF	BW25113_RS11520	2296482	2296976	ferredoxin-type protein
rpiB	BW25113_RS21245	4303167	4303616	allose-6-phosphate isomerase / ribose-5-phosphate isomerase B
tufA	BW25113_RS17305	3463504	3464688	translation elongation factor Tu 1
yjiJ	BW25113_RS22560	4551314	4552492	putative transporter YjiJ
ycdY	BW25113_RS05385	1095096	1095650	chaperone protein YcdY
lapA	BW25113_RS06690	1334500	1334808	lipopolysaccharide assembly protein A
dicB	BW25113_RS08245	1643866	1644054	Qin prophage; cell division inhibition protein DicB
nusB	BW25113_RS02155	430593	431012	transcription antitermination protein NusB
yfcO	BW25113_RS12175	2442707	2443528	fimbrial adhesin YfcO
yahL	BW25113_RS01680	339887	340702	uncharacterized protein YahL
glcE	BW25113_RS15470	3118829	3119881	glycolate dehydrogenase, predicted FAD-binding subunit
htpG	BW25113_RS02445	490576	492450	chaperone protein HtpG
ymfR	BW25113_RS05970	1201005	1201187	e14 prophage; IPR020297 domain-containing protein YmfR
yaaI	BW25113_RS00065	11382	11786	DUF2541 domain-containing protein YaaI
yihY	BW25113_RS20165	4069506	4070378	PF03631 family membrane protein YihY
leuL	BW25113_RS00375	80109	80195	<i>leu</i> operon leader peptide
yffL	BW25113_RS12740	2553616	2554257	CPZ-55 prophage; uncharacterized protein YffL
leuE	BW25113_RS09410	1874378	1875016	leucine exporter
btuD	BW25113_RS08945	1787066	1787815	vitamin B<sub>12</sub> ABC transporter ATP binding subunit
yjjY	BW25113_RS22930	4630219	4630359	uncharacterized protein YjjY
yfdT	BW25113_RS12325	2469352	2469657	CPS-53 (KpLE1) prophage; protein YfdT
cspC	BW25113_RS09545	1901483	1901692	transcription antiterminator and regulator of mRNA stability CspC
ydhU	BW25113_RS08740	1743820	1744605	putative cytochrome YdhU
alsK	BW25113_RS21215	4296687	4297616	D-allose kinase
ydaU	BW25113_RS07130	1415376	1416233	Rac prophage; DUF1376 domain-containing protein YdaU
flgF	BW25113_RS05610	1129258	1130013	flagellar basal-body rod protein FlgF
pcm	BW25113_RS14275	2862252	2862878	protein-L-isoaspartate <i>O</i>-methyltransferase
ybgA	BW25113_RS03660	734457	734966	DUF1722 domain-containing protein YbgA
yjiL	BW25113_RS22575	4553739	4554506	putative ATPase, activator of (R)-hydroxyglutaryl-CoA dehdratase
ylcH	BW25113_RS24970	567824	567925	DLP12 prophage; uncharacterized protein YlcH
xylG	BW25113_RS18515	3725561	3727102	xylose ABC transporter ATP binding subunit
ytjB	BW25113_RS25855	4613962	4614606	YtjB family periplasmic protein
yaiP	BW25113_RS01875	378195	379391	putative glucosyltransferase
yjiA	BW25113_RS22655	4577726	4578682	P-loop guanosine triphosphatase YjiA
arnE	BW25113_RS11795	2366036	2366371	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit
ecpC	BW25113_RS01495	302518	305043	putative fimbrial usher protein EcpC
hdeA	BW25113_RS18190	3649768	3650100	periplasmic acid stress chaperone HdeA
ydcL	BW25113_RS07505	1496714	1497382	DUF3313 domain-containing lipoprotein YdcL
ffh	BW25113_RS13625	2739793	2741154	signal recognition particle protein
phoR	BW25113_RS02070	413345	414640	sensor histidine kinase PhoR
gatD	BW25113_RS10910	2165314	2166354	galactitol-1-phosphate 5-dehydrogenase
hemH	BW25113_RS02455	493511	494473	ferrochelatase
glgX	BW25113_RS17770	3562706	3564679	limit dextrin alpha-1,6-glucohydrolase
gltX	BW25113_RS12520	2512736	2514151	glutamate&mdash;tRNA ligase
lpxC	BW25113_RS00480	103044	103961	UDP-3-O-acyl-N-acetylglucosamine deacetylase
fdrA	BW25113_RS02660	542136	543803	putative oxamate carbamoyltransferase FdrA
ubiV	BW25113_RS16375	3295848	3296726	ubiquinone biosynthesis protein UbiV
bamC	BW25113_RS12925	2591190	2592224	outer membrane protein assembly factor BamC
nrfE	BW25113_RS21155	4281380	4283098	putative cytochrome c-type biogenesis protein NrfE
clpP	BW25113_RS02265	452133	452756	ATP-dependent Clp protease proteolytic subunit
rcdA	BW25113_RS04390	882879	883415	RcdA
pspC	BW25113_RS06845	1363282	1363641	phage shock protein C
yaiA	BW25113_RS02015	402435	402626	protein YaiA
hemB	BW25113_RS01905	384209	385183	porphobilinogen synthase
gutQ	BW25113_RS14095	2823172	2824137	D-arabinose 5-phosphate isomerase GutQ
RS02770	BW25113_RS02770	562140	562229	protein ren
speG	BW25113_RS08290	1650441	1651001	spermidine <i>N</i>-acetyltransferase
ytfJ	BW25113_RS21905	4428525	4429079	PF09695 family protein YtfJ
glrK	BW25113_RS13325	2683030	2684457	histidine kinase GlrK
topB	BW25113_RS09220	1839256	1841217	DNA topoisomerase III
pitB	BW25113_RS15515	3128231	3129730	metal phosphate:H<sup>+</sup> symporter PitB
feaB	BW25113_RS07270	1441776	1443275	phenylacetaldehyde dehydrogenase
yphA	BW25113_RS13260	2666705	2667127	putative inner membrane protein
secD	BW25113_RS02110	423103	424950	Sec translocon accessory complex subunit SecD
ylcI	BW25113_RS02890	575707	575901	DLP12 prophage; DUF3950 domain-containing protein YlcI
ydhW	BW25113_RS08750	1745334	1745972	uncharacterized protein YdhW
yafV	BW25113_RS01110	235906	236676	2-oxoglutaramate amidase
lptD	BW25113_RS00280	54755	57109	lipopolysaccharide assembly protein LptD
yjhH	BW25113_RS22330	4513922	4514827	KpLE2 phage-like element; putative 2-dehydro-3-deoxy-D-pentonate aldolase
yieL	BW25113_RS19335	3892768	3893937	putative hydrolase YieL
pdeN	BW25113_RS11360	2264205	2265761	putative c-di-GMP phosphodiesterase PdeN
yiaM	BW25113_RS18570	3737688	3738161	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit
glmU	BW25113_RS19390	3907190	3908560	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase
cmtA	BW25113_RS15235	3070830	3072218	mannitol-specific PTS enzyme IICB component CmtA
ynaE	BW25113_RS07215	1428248	1428481	Rac prophage; uncharacterized protein YnaE
rsfS	BW25113_RS03310	664175	664492	ribosomal silencing factor RsfS
yhaC	BW25113_RS16195	3261774	3262961	uncharacterized protein YhaC
ymfL	BW25113_RS05955	1198724	1199281	e14 prophage; uncharacterized protein YmfL
yjbF	BW25113_RS20890	4226190	4226828	lipoprotein YjbF
sufS	BW25113_RS08790	1753560	1754780	L-cysteine desulfurase
nagZ	BW25113_RS05760	1159551	1160576	&beta;-<i>N</i>-acetylglucosaminidase
yieP	BW25113_RS19515	3933995	3934687	DNA-binding transcriptional dual regulator YieP
aldB	BW25113_RS18630	3748333	3749871	aldehyde dehydrogenase B
waaS	BW25113_RS18845	3797541	3798476	lipopolysaccharide core biosynthesis protein WaaS
RS01235	BW25113_RS01235	258582	258657	tRNA-Thr
tusA	BW25113_RS17965	3602111	3602356	sulfur transfer protein TusA
ydaS	BW25113_RS07120	1414622	1414918	Rac prophage; putative DNA-binding transcriptional regulator YdaS
yhdV	BW25113_RS16940	3411749	3411970	lipoprotein YhdV
hcxA	BW25113_RS03120	627845	628933	hydroxycarboxylate dehydrogenase A
eutH	BW25113_RS12785	2560240	2561466	putative ethanolamine permease EutH
qorB	BW25113_RS21880	4422981	4423841	NAD(P)H:quinone oxidoreductase
treF	BW25113_RS18240	3662952	3664601	cytoplasmic trehalase
tamA	BW25113_RS21930	4432199	4433932	translocation and assembly module subunit TamA
fusA	BW25113_RS17310	3464759	3466873	elongation factor G
sufE	BW25113_RS08785	1753131	1753547	sulfur carrier protein SufE
gph	BW25113_RS17540	3506990	3507748	Gph
pntA	BW25113_RS08390	1670628	1672160	pyridine nucleotide transhydrogenase subunit &alpha;
yliM	BW25113_RS25505	845788	845853	protein YliM
yciU	BW25113_RS06505	1301078	1301407	DUF440 domain-containing protein YciU
hemW	BW25113_RS15345	3090626	3091762	heme chaperone HemW
xerC	BW25113_RS19790	3989647	3990543	site-specific tyrosine recombinase
yidP	BW25113_RS19150	3857259	3857975	putative DNA-binding transcriptional regulator YidP
ghrA	BW25113_RS05375	1093342	1094280	glyoxylate/hydroxypyruvate reductase A
ihfA	BW25113_RS08960	1789510	1789809	integration host factor subunit &alpha;
truC	BW25113_RS14515	2916361	2917143	tRNA pseudouridine<sup>65</sup> synthase
sucB	BW25113_RS03765	756978	758195	2-oxoglutarate dehydrogenase E2 subunit
yhjJ	BW25113_RS18285	3673804	3675300	peptidase M16 family protein YhjJ
seqA	BW25113_RS03550	708443	708988	negative modulator of initiation of replication
RS19985	BW25113_RS19985	4030501	4030577	tRNA-Ile
pinR	BW25113_RS07210	1427341	1427931	Rac prophage; putative site-specific recombinase
yfcD	BW25113_RS12010	2412113	2412655	putative Nudix hydrolase YfcD
ygeY	BW25113_RS14935	3002123	3003334	putative peptidase YgeY
grpE	BW25113_RS13640	2743474	2744067	nucleotide exchange factor GrpE
fetA	BW25113_RS02530	511375	512052	putative iron ABC exporter ATP-binding subunit FetA
RS18990	BW25113_RS18990	3829582	3829676	tRNA-Sec
amiC	BW25113_RS14650	2941116	2942369	<i>N</i>-acetylmuramoyl-L-alanine amidase C
lolD	BW25113_RS05810	1172075	1172776	lipoprotein release complex - ATP binding subunit
ydjJ	BW25113_RS09285	1852047	1853090	putative zinc-binding dehydrogenase YdjJ
gspC	BW25113_RS17230	3448937	3449752	type II secretion system protein GspC
carA	BW25113_RS00165	29651	30799	carbamoyl-phosphate synthetase small subunit
comR	BW25113_RS05780	1163656	1164288	DNA-binding transcriptional repressor ComR
uvrD	BW25113_RS19800	3991343	3993505	DNA helicase II
tatB	BW25113_RS19920	4015578	4016093	twin arginine protein translocation system - TatB protein
dacB	BW25113_RS16495	3322322	3323755	peptidoglycan DD-endopeptidase DacB
cynX	BW25113_RS01750	355676	356857	cyanate transporter
ubiD	BW25113_RS19940	4018348	4019841	3-octaprenyl-4-hydroxybenzoate decarboxylase
appB	BW25113_RS05080	1034752	1035888	cytochrome <i>bd</i>-II subunit 2
endA	BW25113_RS15295	3083706	3084413	DNA-specific endonuclease I
ybfA	BW25113_RS03620	724590	724796	DUF2517 domain-containing protein YbfA
dcrB	BW25113_RS17975	3603315	3603872	periplasmic bacteriophage sensitivity protein DcrB
yiaB	BW25113_RS18495	3720767	3721108	PF05360 family inner membrane protein YiaB
yqaB	BW25113_RS13995	2810296	2810862	fructose-1-phosphate phosphatase YqaB
ymgE	BW25113_RS06220	1240184	1240438	PF04226 family protein YmgE
sgbH	BW25113_RS18590	3741937	3742599	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
RS13525	BW25113_RS13525	2719640	2722543	23S ribosomal RNA
aroL	BW25113_RS02010	401861	402385	shikimate kinase 2
cbtA	BW25113_RS10470	2071050	2071424	CP4-44 prophage; cytoskeleton-binding toxin CbtA
tar	BW25113_RS09885	1965287	1966948	methyl-accepting chemotaxis protein Tar
selU	BW25113_RS02590	525588	526682	tRNA 2-selenouridine synthase
yiaV	BW25113_RS18615	3746323	3747459	putative membrane fusion protein YiaV
ysgA	BW25113_RS19885	4008714	4009529	putative dienelactone hydrolase
nimT	BW25113_RS09370	1869930	1871111	2-nitroimidazole exporter
tsuB	BW25113_RS10515	2077707	2077934	putative thiosulfate sulfurtransferase
ydfJ	BW25113_RS08090	1625259	1626626	MHS family MFS transporter
RS19545	BW25113_RS19545	3940317	3940392	tRNA-Trp
hslV	BW25113_RS20400	4111685	4112215	peptidase component of the HslVU protease
yhbP	BW25113_RS16350	3292831	3293274	putative FMN binding protein YhbP
rutD	BW25113_RS05250	1066421	1067221	putative aminoacrylate hydrolase RutD
yjjG	BW25113_RS22775	4598463	4599140	pyrimidine 5'-nucleotidase YjjG
dicC	BW25113_RS08220	1641877	1642107	Qin prophage; putative DNA-binding transcriptional regulator DicC
yfcZ	BW25113_RS12225	2454129	2454413	DUF406 domain-containing protein YfcZ
RS12535	BW25113_RS12535	2514612	2514687	tRNA-Lys
ibsA	BW25113_RS25170	2146830	2146889	toxic peptide IbsA
yraN	BW25113_RS16320	3288753	3289148	PF02021 family protein YraN
yibT	BW25113_RS18705	3769531	3769740	protein YibT
yrdD	BW25113_RS17025	3424779	3425321	putative DNA topoisomerase
pepA	BW25113_RS22115	4474257	4475768	aminopeptidase A/I
adeP	BW25113_RS19310	3888632	3889969	adenine:H<sup>+</sup> symporter
metQ	BW25113_RS00990	216600	217415	L-methionine/D-methionine ABC transporter membrane anchored binding protein
ychA	BW25113_RS06320	1262776	1263585	transglutaminase-like/TPR repeat-containing protein
ycaP	BW25113_RS04700	952218	952910	DUF421 domain-containing protein YcaP
puuR	BW25113_RS06810	1356168	1356725	DNA-binding transcriptional repressor PuuR
btuF	BW25113_RS00795	174149	174949	vitamin B<sub>12</sub> ABC transporter periplasmic binding protein
yjjP	BW25113_RS22720	4591905	4592675	threonine/serine exporter ThrE family protein
tolR	BW25113_RS03830	771305	771733	Tol-Pal system protein TolR
paaB	BW25113_RS07290	1449125	1449412	phenylacetyl-CoA 1,2-epoxidase subunit B
hupA	BW25113_RS20755	4190209	4190481	DNA-binding protein HU-&alpha;
ilvB	BW25113_RS19070	3844456	3846144	acetohydroxy acid synthase I subunit IlvB
rcdB	BW25113_RS18250	3665774	3666673	putative DNA-binding transcriptional regulator YhjC
murD	BW25113_RS00440	93574	94890	UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase
btsT	BW25113_RS22665	4578946	4581096	pyruvate:H<sup>+</sup> symporter
ccmD	BW25113_RS11470	2288856	2289065	cytochrome <i>c</i> maturation protein D
paaH	BW25113_RS07320	1453311	1454738	3-hydroxyadipyl-CoA dehydrogenase
rseC	BW25113_RS13410	2700681	2701160	protein RseC
yhjG	BW25113_RS18265	3669650	3671710	AsmA family protein YhjG
